price,brand,utility,weight,warranty,display_size,ppi,touch_screen,ram,ssd,graphic,core,hdmi,backlit_keyboard,battery_capacity,pixel_height,processor
74990.0,Asus,Performance,lite,1.0,small,323,1,16,512,Integrated,12.0,1,1,high,2400.0,Intel i5 12.0
57990.0,Acer,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,8.0,1,1,medium,1080.0,Intel i5 12.0
399999.0,Lenovo,Gaming,heavy,1.0,large,236,0,32,1024,NVIDIA,24.0,1,1,very_high,2000.0,Intel i9 13.0
34990.0,Lenovo,Performance,medium,1.0,medium,157,0,8,512,Integrated,6.0,1,0,medium,1080.0,Intel i3 12.0
56340.0,Dell,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,4.0,1,0,medium,1080.0,Intel i5 11.0
70990.0,Asus,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,8.0,1,1,very_high,1080.0,Intel i7 11.0
61990.0,Dell,Everyday Use,medium,1.0,medium,141,0,16,512,Integrated,10.0,1,1,medium,1080.0,Intel i5 12.0
48999.0,Acer,Everyday Use,medium,1.0,medium,141,0,16,512,AMD,4.0,1,0,low,1080.0,AMD 5 7.0
60990.0,Lenovo,Everyday Use,lite,1.0,small,157,0,16,1024,Integrated,8.0,1,1,high,1080.0,Intel i5 12.0
27990.0,Wings,Business,medium,1.0,medium,141,0,8,512,Integrated,4.0,1,1,low,1920.0,Intel i3 11.0
54990.0,MSI,Performance,medium,2.0,medium,141,0,16,256,NVIDIA,6.0,1,1,medium,1080.0,Intel i5 11.0
23490.0,HP,Everyday Use,medium,1.0,medium,100,0,4,256,AMD,2.0,1,0,low,768.0,AMD 3050U 3.0
131254.0,HP,Gaming,heavy,1.0,large,141,0,16,1024,NVIDIA,8.0,1,1,low,1080.0,AMD 7 7.0
51990.0,MSI,Performance,medium,2.0,medium,141,0,16,512,NVIDIA,6.0,1,1,medium,1080.0,Intel i5 12.0
89999.0,HP,Gaming,heavy,1.0,large,137,0,16,1024,NVIDIA,8.0,1,1,high,1080.0,AMD 7 7.0
44990.0,Lenovo,Everyday Use,medium,1.0,medium,141,0,16,512,AMD,4.0,1,1,medium,1080.0,AMD 5 7.0
62990.0,Dell,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,10.0,1,0,low,1080.0,Intel i5 13.0
114990.0,Lenovo,Gaming,medium,1.0,medium,184,0,16,512,NVIDIA,6.0,1,1,high,1080.0,Intel i7 13.0
36990.0,Acer,Gaming,medium,1.0,medium,141,0,16,512,Integrated,6.0,1,1,medium,1080.0,Intel i3 12.0
71989.0,Dell,Everyday Use,medium,1.0,small,141,0,16,1024,Integrated,10.0,1,1,medium,1200.0,Intel i5 13.0
62990.0,Lenovo,Gaming,heavy,1.0,medium,141,0,8,512,NVIDIA,6.0,1,1,low,1080.0,AMD 5 5.0
83990.0,HP,Business,medium,1.0,medium,141,1,16,512,Integrated,10.0,1,1,medium,1080.0,Intel i5 12.0
22490.0,Chuwi,Everyday Use,lite,1.0,small,280,0,8,512,Integrated,2.0,1,0,medium,1200.0,Intel i3 10.0
42990.0,Dell,Everyday Use,medium,1.0,medium,141,0,8,512,AMD,6.0,1,1,low,1080.0,AMD 5 5.0
89990.0,Infinix,Performance,medium,1.0,medium,141,0,32,1024,Integrated,14.0,1,1,high,1080.0,Intel i9 13.0
56000.0,Ninkear,Everyday Use,medium,1.0,large,186,0,32,2048,AMD,8.0,1,1,very_high,1600.0,AMD 7 7.0
23990.0,Ultimus,Performance,lite,1.0,medium,156,0,8,512,Integrated,2.0,1,0,low,1080.0,Intel i3 10.0
89990.0,Acer,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,10.0,1,1,high,1080.0,Intel i7 12.0
12989.0,AXL,Performance,medium,1.0,medium,156,0,4,256,Integrated,2.0,1,0,low,1080.0,Intel N4020 3.0
34990.0,Infinix,Everyday Use,lite,1.0,small,157,0,16,512,Integrated,4.0,1,1,medium,1080.0,Intel i5 11.0
36990.0,Acer,Performance,medium,1.0,medium,141,0,8,512,Integrated,6.0,1,0,medium,1080.0,Intel i3 13.0
43990.0,Xiaomi,Business,lite,1.0,small,243,0,8,512,Integrated,12.0,1,1,low,1800.0,Intel i5 12.0
89500.0,HP,Everyday Use,lite,1.0,small,157,1,16,512,Integrated,10.0,1,1,low,1080.0,Intel i7 13.0
64990.0,Acer,Performance,lite,1.0,small,243,0,16,512,Integrated,12.0,1,1,high,1800.0,Intel i5 13.0
129990.0,Acer,Performance,heavy,1.0,large,142,0,16,1024,NVIDIA,16.0,1,1,very_high,1600.0,Intel i7 13.0
