brand,os,utility,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,core,hdmi,mcr,wifi,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,num_of_cell,battery_capacity,pixel_width,pixel_height,usb2,type_c,processor_brand,processor_model,processor_gen,price
4.0,2.0,2.0,1.0,0.0,170,1.0,1,0,16,0,512,2.0,16.0,8.0,1,0,1,1,1,0,0,1,0,4.0,56.0,1920.0,1080.0,0,0,0.0,5.0,6.0,88990.0
10.0,2.0,2.0,1.0,1.0,141,1.0,1,0,16,0,512,0.0,16.0,6.0,1,1,1,1,1,0,0,1,0,3.0,52.5,1920.0,1080.0,0,0,0.0,4.0,5.0,56990.0
16.0,2.0,3.0,2.0,1.0,141,1.0,1,0,16,0,512,2.0,12.0,6.0,1,0,1,1,1,1,0,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,2.0,19.0,11.0,48990.0
15.0,2.0,2.0,1.0,1.0,184,0.0,1,0,16,0,512,2.0,12.0,8.0,1,0,1,1,1,1,0,1,0,3.0,60.0,1920.0,1080.0,0,0,2.0,19.0,12.0,93050.0
15.0,2.0,2.0,1.0,1.0,184,0.0,1,0,8,0,512,2.0,12.0,8.0,1,0,1,1,1,1,0,1,0,3.0,60.0,1920.0,1080.0,0,0,2.0,19.0,13.0,89999.0
24.0,2.0,3.0,1.0,1.0,156,1.0,1,0,4,0,256,1.0,4.0,2.0,1,0,1,0,1,0,0,0,0,2.0,18.5,1920.0,1080.0,1,0,2.0,14.0,3.0,13990.0
4.0,2.0,3.0,1.0,1.0,141,1.0,1,0,8,0,512,2.0,18.0,12.0,1,0,1,1,1,1,0,1,0,4.0,90.0,1920.0,1080.0,1,0,2.0,19.0,12.0,76990.0
15.0,2.0,3.0,1.0,1.0,100,1.0,1,0,8,0,512,0.0,2.0,2.0,1,1,1,1,1,0,0,0,0,2.0,39.840625,1366.0,768.0,1,0,0.0,7.0,7.0,23990.0
13.0,2.0,1.0,1.0,2.0,157,1.0,0,0,8,0,512,1.0,6.0,2.0,1,0,1,1,1,0,0,0,0,2.0,50.0,1920.0,1080.0,0,0,2.0,18.0,11.0,23990.0
2.0,2.0,2.0,1.0,1.0,188,1.0,1,0,16,0,1024,2.0,24.0,10.0,1,0,1,1,1,0,0,1,0,4.0,57.5,2560.0,1440.0,0,0,2.0,20.0,12.0,97989.0
4.0,2.0,3.0,1.0,1.0,141,1.0,1,0,16,0,512,2.0,24.0,14.0,1,0,1,1,1,1,0,1,0,4.0,90.0,1920.0,1080.0,0,0,2.0,20.0,12.0,109990.0
